	CDC2_Hap_1	CDC2_Hap_2	CDC2_Hap_3	CDC2_Hap_4
0	1.0			
1		1.0		
2	1.0			
3	1.0			
4	1.0			
5		1.0		
6				
7	1.0			
8		1.0		
9	1.0			
10	1.0			
11				
12				
13		1.0		
14	1.0			
15	1.0			
16		1.0		
17	1.0			
18				
19				
20				
21	1.0			
22				
23	1.0			
24				
25				
26				
27				
28				
29	1.0			
30	1.0			
31	1.0			
32	1.0			
33	1.0			
34				
35		1.0		
36	1.0			
37				
38	1.0			
39	1.0			
40	1.0			
41				
42	1.0			
43				
44	1.0			
45	1.0			
46	1.0			
47				
48				
49	1.0			
50				
51		1.0		
52	1.0			
53	1.0			
54	1.0			
55				
56				
57				
58	1.0			
59	1.0			
60	1.0			
61	1.0			
62	1.0			
63		1.0		
64	1.0			
65	1.0			
66	1.0			
67	1.0			
68				
69	1.0			
70				
71	1.0			
72				
73				
74				
75		1.0		
76				
77	1.0			
78	1.0			
79				
80	1.0			
81	1.0			
82	1.0			
83	1.0			
84				
85		1.0		
86	1.0			
87				
88				
89				
90	1.0			
91				
92				
93				
94				
95				
96				
97	1.0			
