	CDC3_Hap_1	CDC3_Hap_2	CDC3_Hap_3	CDC3_Hap_4
0		X		
1	X			
2		X		
3		X		
4	X			
5		X		
6				
7		X		
8		X		
9		X		
10	X			
11				
12				
13		X		
14	X			
15		X		
16		X		
17				
18				
19				
20				
21	X			
22		X		
23				
24				
25				
26				
27	X			
28	X			
29	X			
30	X			
31	X			
32	X			
33	X			
34	X			
35	X			
36	X			
37				
38	X			
39	X			
40	X			
41	X			
42				
43				
44	X			
45	X			
46	X			
47				
48	X			
49	X			
50	X			
51	X			
52	X			
53	X			
54	X			
55	X			
56				
57				
58	X			
59	X			
60	X			
61	X			
62	X			
63				
64	X			
65	X			
66	X			
67	X			
68				
69	X			
70				
71	X			
72				
73				
74				
75				
76				
77				
78	X			
79				
80	X			
81	X			
82	X			
83	X			
84				
85	X			
86	X			
87				
88				
89				
90	X			
91				
92				
93				
94				
95				
96				
97	X			
